user_id,whisky_id,points_overall,nose_text,taste_text,finish_text,nose_rating,taste_rating,finish_rating
dRambo,123,,"Gentle mined delicate smoke is above the glass, it starts with grass notes and a sweet sugar cake nose with cinnamon and nutmeg. More time and some hand warmth dissolve a fine fruity acidity from the glass, orange jelly, slightly sour BBQ sauce with hints of wine or wine vinegar influence the meet with a honey sweetness, dense and voluminous, juicy tobacco leaves  After the first sip, I also find in the nose delicately aged citrus notes blended with floral notes and beeswax.","Oily and gentle, it runs down the tongue, warm wood notes, sanding dust from old weathered wood, then clearly tobacco with vanilla and pepper, heavily interwoven volumniöse but confused Sherrynoten (I find no concrete fruits or even red berries) more wine notes, some salt, grasses , Geranium leaves, jasmine oil, crystalline flowers and citrus peel - very noble aged, easy to chew and very rich / aromatic","is eternally on the tongue, light ashy note in the smoke, wax, mint, spicy oak and herbs, licorice - still a slight pepperiness partly mint, partly rosemary and chilli - in no case alcoholic pungency",,,
Bishlouk,123,92.0,"First sweet and honeyed, vanilla limit. Then the marine smells develop.","At first soft, subtle, velvety. Then the pepper attack and we take the full face!",Atomic pepper explosion.,,,
OlivierSegers,123,90.0,,,,90,90,91
gregy3,123,91.0,,,,,,
DarrenHJA,123,90.0,,,,91,92,87
alex..w..fan,123,89.0,,,,,,
kimmosuo,123,86.0,,,,86,86,85
hs305,124,88.0,,,,,,
Seanzhang,124,91.0,,,,91,92,90
lucero,124,89.0,,,,90,88,88
croz,124,86.0,"Vanilla, honey, peat-reek and chilli.With some water: more smoke and","Medicinal (TCP), black pepper, papaya, almond and violet",Peppery and peaty finish that lingers on the tongue tip,,,
lachaineduwhisky,124,,"Wax, old cellar, dust.  Maritime, but also sweetness, subtle toffee, some discreet fruits that rise slowly. With water, more ""greedy"" (I put quotation marks because it is a Talisker all the same!) And more intense!","Beautiful attack, massive! And peppered! Austere, in the Talisker style that looks a little towards Springbank. With water, a little more accessible, but not less lively!","Final almost modest, compared to the mouth, all proportion kept.",,,
Dionysus,124,88.0,,,,90,90,88
zby0001,124,91.0,,,,90,88,92
Lafroy,124,86.0,,,,87,85,85
Lu Cifer,125,77.0,,,,78,77,75
MM-Speyside,125,61.0,,,,70,75,55
Oldpultnie,125,71.0,,,,72,74,69
Oldpultnie,125,71.0,"Very light nose…, almost flat and not very excitant. Little malt and vanilla what I normally like most of the time but it needs something more than that and it's missing backbone.",Soft creamy entry with a little spicy tingle but still too flat for me altough there is nothing wrong with it if you like a softer drink at 40%.,Short finish and not a lot to remember.,,,
larswehmeier,125,75.0,"Light and fresh at the first start. First flowery but then fast with a nice vanilla sweetness,",Light and mild on the tongue. Less sweet than in the nose. Malty. A touch of light oak.,Rather short. Mild and malty.,,,
Rien,125,79.0,,,,78,77,81
rpvdwel,125,79.0,,,,78,78,79
Andytka3,125,76.0,,,,85,86,84
kot1803,125,75.0,,,,76,75,74
pelle86,125,68.0,,,,66,69,63
hefaists,126,77.0,,,,,,
Furtia,126,79.0,,,,76,79,78
Feusi,126,78.0,,,,,,
Magnus Hillman,127,83.0,"Malty sweet fruitiness, red apples, pear, subtle spices, maybe some weak coffee notes and definitely oak.","Vanilla, crispy apples, sweet apples some chocolate and orange candy.","The finish have an impressive spiciness, cinnamon and nutmeg, some brown sugar and bitter red tea.",,,
Igor,127,84.0,"Lemonade, zefir/marshmallow, lime, orange, prunes, apple, rosewater.","Chocolate sweets, milk chocolate, liqueur, white coffee, Toruń gingerbreads (covered with chocolate).","Medium to short. With moderate pungency. Allspice, cinnamon, honey, black pepper.",,,
mmaclean,127,,,,,,,
Feusi,127,80.0,"Very fruity and floral notes, smoe sweet and spicy oak.","Sweet spicy but also a bit bitter oak, but a pleasant mouth feeling. ","Very fruity and floral.  Roses, cherries and dark berries.  Not the most incredible of aromas to rise out of my glass, but that's ok because the price was not the most incredible either.PalateCherry, rich dark plums and of course oak.  Creamy.  An exotic oak, but not too exotic such that it is weird.  All pleasing flavors Dry oak and a bit too dry, medium long.",,,
Gweddry,127,83.0,"fresh green apple, mint, pineapple, coconut, meadow honey, malt, peaches, oak, pear","sweet, malt, honey, trace of sherry, red apples, sweet wood, cocoa, coffee","raisins, malt, sweet wood, cinnamon, nutmeg, cane sugar, pear",,,
DrunkDude,127,82.0,"Ripe fruit, apple. Relatively light 81","The taste is first heavy, with sourness and honey sweetness as the dominant spices followed closely. 84","The aftertaste is ordinary, but you can feel the retention of the spices 80",81,84,80
OlivierSegers,127,83.0,,,,83,84,83
Andytka3,127,82.0,,,,89,90,83
dRambo,127,75.0,,,,81,75,73
The-Man-best-Friend,127,82.0,,,,83,82,82
MM-Speyside,128,61.0,,,,65,78,50
Oldpultnie,128,81.0,,,,79,83,81
Oldpultnie,128,81.0,Fruity and some very little spices with a touch of sherry cask. Honey and a light hint of wood but it doesn't seem to open up completely and there is still something waiting to come out later. A few drops of water didn't make a big difference.,Smooth (half creamy) and malty on the palate. Spices (nutmeg and cinnamon) mixed and balanced with the honey sweetness.,Medium finish with more oak and some sherry influence and some spices.,,,
mema82,128,81.0,,,,81,80,82
namnug,128,80.0,Light sherry notes. oaky,"Thin to medium, smooth. vanilla and cocoa characters. hints of oak",chocolate and oak,,,
Mr.Sandwich,128,82.0,,,,81,82,80
Mr.Sandwich,128,82.0,"Behave at first, but then gets fuller and stronger. Slightly dusty and dry, with citrus fruits, spices like nutmeg, ripe fruits on barley field.","Heavy body with barley malt, which has a striking effect and at the same time brings some sweetness. Supported by ripe fruit, liquorice, some citrus and vanilla. Everything in a good relationship to each other, with light wood notes.","Strong with spices like pepper, malt, a portion of wood - getting slightly dry.",,,
xFabe,128,,"Celestial sweet, juicy orange, ""juice"" from the fruit salad, grapes, mandarin, vanilla, pistachio ice cream, very distant hints of mulled wine spice (sweet Christmas market)","Sweetness and acidity play around very pleasant oak notes, juicy in the mouth, wonderfully interwoven","Goes down like oil, fantastically juicy with just the really pleasantly interesting amount of oak, the spicy, pleasant, warming down the throat.",,,
Andytka3,128,87.0,,,,92,91,88
MasterOfPuppets,128,84.0,"Peach, red fruits, cloves, laurel leaves, plums","Oak, red fruits, cloves, vanilla, malt",Pretty short for an 18 year old.,,,
maxi_vor95,129,98.0,,,,,,
ctu,129,87.0,"Sherry, raisin, waxy apple, flowers, oak, cinnamon and vanilla.","Spicy oak, vanilla pudding, apple compote, cinnamon, pepper and nutmeg.","Medium, oaky, spicy.",,,
MadScientist,129,89.0,,,,88,90,88
Beaty-Tang,129,87.0,,,,,,
g00se,129,89.0,"A fruity note suits you and the spice from the barrel tingles pleasantly in the nose. The often mentioned fruit basket consists of ripe tropical fruits such as pineapple, lychee and grape. Everything looks very round and solid. Nothing is felt from the alcohol.  After a good three quarters of an hour, the malt has changed. Now red berries, oak and a delicate hint of chocolate dominate the smell.  After a good three quarters of an hour, the malt has changed. Now the red berries, oak and a delicate hint of chocolate dominate the smell.","90 points and still no detailed notes, is that possible? Yes! The Malt offers distinctive livet flavor paired with a neatly spicy start. It changes wonderfully over time and the more you take a sip. Interesting to discover.","The finish is slightly dry at first, but after a hearty smack the fruit flavors spread out. Here it is finally the red berries and cherries that make the sherry barrel muscles play. All in all a long, if rather unspectacular finish.",89,90,88
gaboruso,129,87.0,,,,88,88,86
MGHOW,129,90.0,,,,,,
hogsheadwhisky,129,88.0,"The malt shows up with a beautiful dark gold in the glass. Oily legs nestle very slowly along the edge of the glass. Right at the start, a beautiful nose blows me out of the snifter. I can't immediately divide the different smells apart. It is a successful composition of orange-heavy fruitiness with honey and spices, embedded in a creamy, buttery continence (can you speak of consistency in the nose?). A little journey back in time to Christmas.  You don't feel the alcohol of 43% at all, just the aromas. Compared to the 18y, this nose is another increase for me - I already liked the 18 year old.  The beautiful combination of orange, sherry influences, juicy, ripe red pome fruit such as pear and Christmas apples with icing is very nice.","Wow! Is it gentle and soft in the mouth. Creamy and slightly sweet at the beginning. A light orange zest note with nutmeg and cinnamon. At the end there is bitterness, dark chocolate, but no more than 60% cocoa.","The bitterness remains. The oak takes command. The cocoa content in the dark chocolate increases towards the end. In addition to the oak, the rest of the spiciness and the chanting of the fruit follow when swallowing. All in all, the finish is not as long as one might have wished for in an old malt.",90,87,86
LeChiffre,129,88.0,nice balance between sweetness and acidity; Dried fruit; Forest honey; complex fruit mix; spicy oak in the background; great nose,"mild / soft onset; light sweetness with mild fruitiness (orange, apricot); tart chocolate; a little nut and cinnamon; pleasantly spicy-bitter oak behind",slightly dry; not too long; sweet and spicy; nutty; some chocolate; pleasant bitter oak flavors stand out clearly,90,88,86
Moses,129,86.0,"Wow! A dreamlike fruit plate is in the room! In addition still very floral notes with sweet spicy oak wood. Respect. In addition, the full Christmas market. Hard to believe. Very delicious.","In the middle of the Christmas market with some bitter oak. He already transports over what the nose has promised. But unfortunately way too thin! For me, the palate is a little disappointment and therefore only standard.","Medium to rather short seasoned with light pepper and pickled in honey. Simple, pleasant, sweet, warm and spicy. Finished. Sorry with such a good 18er in the program that is unfortunately too little! Too bad. Had expected more.",90,86,83
ricallende,131,84.0,"Nose: Sweet tangerines and zesty drops of lemon. Very light and fresh. Gentle smoke is present, so gentle it’s very hard to detect. Water and time in the glass bring out nice floral notes.",Interesting mix of oranges and ginger – bit spicy. Crispy and nutty malt with perfectly smooth vanilla. Drops of water make the taste bitter. And add nutmeg notes.,"Bitter fruity citrus notes. Like slightly old and dried oranges with acid feel. Strong notes of raisins rise from the aftertaste. Even though the powerful raisin notes arrive very late, I still would have expected a better finish. Nicely long but bit dull.",,,
Mascht,131,83.0,"Heather, sth maritim, flour, fresh","mouth-filling, fruity, cinnamon",medium-length,,,
ricallende,131,84.0,,,,83,84,84
HunterRomario,131,83.0,,,,,,
Max Power,131,86.0,,,,88,87,84
Bishlouk,131,88.0,Honey sweetness mixed with maritime iodine. A sweet / salty very addictive and very pleasant.,"Sea peat coated with honey. A little smoke licks the palate. A back and forth between sweetness and iodine, delicious.","Moderately long. Peppery notes, the sea air that persists in waves. These sea waves crash on the palace.",,,
granella2003,131,85.0,,,,85,86,84
granella2003,131,85.0,"Fatty aromas of wax, sweet  grass, roots, earthy aromas and subtle hints of pepper followed by a gentle  smokiness","A creamy, fruity flavor of  malt, peat, grapes and seaweed",Round and smoky aftertaste that quickly  drier,,,
pilgrim77,131,83.0,,,,85,81,84
Ikkakumon,131,88.0,Fragrant and relatively floral. Tingling with a touch of smoke.,"First sweet with molasses and orange, then the flavors explode and the whisky becomes drier, with lots of spices, mustard, a little smoke and a woody influence.","Very long, dry and saline, with a balanced bitterness remaining on the tongue.",,,
Ras Mazunga,132,88.0,"vanilla, lychees, melons, pear, a little varnish, maybe linseed oil, heavier smells start coming out, oak, coffee",lemon vanilla tea with some fresh oak chopped in,"nice lemon tingle on the tongue, the rest of the mouth is pretty much buttered with sweetness and roundness",,,
erikz,133,89.0,,,,,,
Daan Tje,133,88.0,,,,88,89,87
stefsel111,133,88.0,,,,87,88,88
Sb17sw,134,86.0,,,,86,87,84
M134481,134,85.0,"Fruity, citrus, chocolate,","Sherry, honey, lemon, chocolate, sulfur, earth, caramel, smoky with wood.","Earth, sulfur, chocolate, caramel, smoke, honey and wood.",84,85,85
OlivierSegers,134,86.0,,,,85,88,85
Dalm,134,,,,,,,
Rozenbankje,134,83.0,,,,83,82,82
alectron,134,86.0,"sherry, citronat/succade, wet oak, salty, sandy, musty, barley & dusting sugar, faint tobacco as well as some smoke. (86)","sherry, rancio upfront, then immediately very sweet, sherry, malt, dried fruits, caramel, (85)","turning even sweeter, nice barley sugar & citrus note with sherry, very faint austere notes at the end of wood, spices & tobacco. (87)",,,
Hvdree,134,84.0,,,,85,83,87
Furtia,134,83.0,,,,83,82,85
CrilleVBG,134,85.0,Very fresh and a little fruity nose. Oak and some flowery notes. ,"Very smooth. Fruity and lots of oak, nuts and bark. Vanilla.","Medium long finish, not much flavors though.",,,
I_SPEY,134,84.0,,,,,,
pere,136,88.0,"Heather honey, dry hay, sweet fruits, a hint of vanilla banana, salt, peat, a bit of oak, maritime, smoke, delicious and very complex.","Fruity, spicy, wood, salt, dry hay, pepper, a hint of mustard seed, smoke, salmiak.","Spicy wood, light fruitiness, salt, peat, a bit of smoke, fruity sweet fruitiness, a hint of honey.",,,
VISION_CHEN,136,92.0,,,,,,
ovanpuyvelde,136,90.0,,,,91,91,90
zormik,136,90.0,,,,91,91,90
goran,136,91.0,,,,,,
Bishlouk,136,89.0,"Fruit cooked in abundance, caramel candy, a light coat of varnish. This nose is very engaging.",A melted mix of many things; mainly salted caramel fruits. It's a delicate!,"A little watery and goes out too quickly. Argh, I wanted it to continue! Disappointing this final, I feel stolen, the fall falls flat after a story.",,,
markjedi1,136,89.0,"A waxy nose on all kinds of stone fruits, mostly apricots, plums andpeaches, joined by pear drops and a wonderful smokiness. Hints of peat andwoodsmoke. Loads of ginger. Feisty!",The attack is very prickly and warm with loads of peppers. The sweetnessbows down to something that reminds me of quinine and tonic. Mustard seeds! Theoak becomes very loud now. Midpalate some wet leafs join in. Very good indeed.,"The finish is very long on pepper, salt and ginger before returning tothe sweet fruit.",,,
Lafroy,136,90.0,"A lot of fruits, citrus notes, oak, honey, it´s seems very complex and well balanced too. Additionally, a lot of fruits, hints of dryness, and smoothness.","Way better than the nose! A lot of pear sweetness, fruits. smoothness, yoghurt, light, surprisingly delicate. Additionally, some smoke notes to it as well!","Medium long, but super sweet and soft.",,,
Dede,136,91.0,"The first nose is a marine strand, waxy, fruity, exotic as hell. We have loose pineapple, papaya, a little banana, guava ... Then the air reveals notes of Mirabelle plum and pear, as well as a light smoke that grows: we go slowly from the tropics in the orchard, always with this lasting note of wax.","The attack is tough. The nose hid his game! No mistake: it is perfectly drinkable. The smoke is more obvious, but never dominant (it's not an Islay, no doubt). The exotic fruits are back, but tightly framed by spices (pepper, ginger) that the wood distributes generously.","Long and intense, spicy, it dries the palate slightly, thus leaving to guess a wood that does not feel otherwise. Notes of exotic fruits and Mirabelle cherish also linger long in the mouth.",,,
PaulDvorak,137,86.0,,,,,,
hansreitzema,137,80.0,,,,80,80,80
hansreitzema,137,80.0,"Plum, wood, some vanilla, conifers","What dry mouthfeel, caramel, some citrus","Medium-long, ebbs slowly without developing flavor",,,
MM-Speyside,137,47.0,,,,53,36,50
KOQ24,137,73.0,,,,85,80,40
sapecosta,137,81.0,,,,80,80,84
dRambo,137,69.0,,,,80,60,61
Gweddry,137,85.0,"green apple, meadow honey, trace of sherry, rawness, caramel, peanuts in honey, dried apricots, white currants, pineapple, apple cider and burčák","sweet, trace of sherry, malt, honey, chilli catch, fruit compote, pepper, chocolate candies","prunes, sherry, malt, hazelnuts, pineapple, oranges, cucumber",,,
noelc,137,83.0,"wood, sherry, plum tobacco","berries, spicy oak, nuts","bitter, peppermedium long finish",81,85,82
WhiskyPEATer,137,88.0,,,,87,89,89
BSWproject27,138,83.0,"Eggnog, spicy cinnamon","Oak, spice, sherry and holiday cider. The spirit is slightly biting to the palate at first. Water opens this up a bit more.",Mild with some peppery spice that lingers for a minute or two.,84,83,82
wbarchive_465063,138,,,,,85,88,89
aprager,138,,,,,,,
Slàinte Mhath,139,88.0,,,,89,88,86
Flou,139,87.0,,,,89,87,86
Pollenflug,139,87.0,"A mature and elegant Sherrynoten leave a first positive impression. In the direct duel of aromatic intensity, the 21-year-old Glenfarclas against the Glengoyne 21 years and the 21-year-old GlenDronach Parliament has noticeably lost the eye - without, however, stating this as a negative trait. The Glenfarclas is instead soft and mild, the different aromas need a few minutes to unfold. Ripe, red fruits, sweet sherry notes, nuts, marzipan, caramel, juicy oranges, lemon ripeness, milk chocolate, Christmas spices and striking oak wood notes crystallize. A subtle smoky note blends in perfectly with the harmonious and very balanced nose.","The soft and mild impression also continues in taste: The texture of Glenfarcla is gentle and slightly oily. Elegant Sherrynoten are present immediately. Ripe, red fruits, nuts, almonds, caramel, dark forest honey and chocolate follow. The initially juicy oranges turn into grapefruit, which are slightly acidic. Christmas spices and old oak notes are always present, but never too intrusive or dominant. Hidden in the background, I perceive a slight hint of smoke again. Still very round and harmonious, a bit unspectacular.","Medium long, sweet and spicy and slightly warming. Gentle sherry notes, sweet caramel, citrus fruits, nuts, chocolate and light smoke slowly fade away. The Christmas spices and the old oak notes are unmistakable and leave a slight dryness on the palate. At the finish line, Glenfarclas lacks a bit of strength.",,,
PaulDvorak,139,87.0,,,,,,
maltaholic,139,86.0,,,,,,
HammerHead,139,86.0,,,,88,87,85
Gweddry,139,85.0,"sweet pear, dense forest honey, cinnamon, boiled apples, apple strudel, oranges, buns, trace of sherry, raisins, apples, jelly bananas, rum sweetness, vanilla, toffee,","very sweet, sherry, grapefruit, malt, trace of smoke, hint of smoke, sparkling, oak, hard caramel","boiled apples, raisins, buns, dark chocolate, Brazil nuts, ginger, buns",,,
hogsheadwhisky,139,86.0,"The color of the whisky is a beautiful dark gold. It hugs the edge of the glass with a thin film that slowly changes into the typical legs. A whole basket full of ripe fruits on the nose. Oranges and mandarins appear next to red apples and pears. Tropical fruits like pineapples and maybe even a small mango also shine through. The sherry is rather subtle in the background. So he's not a sherry bomb. It does not matter anyway. The fruit cocktail is framed the whole time by vanilla and a distinct sweetness that is honey-like, but also allows associations of milk toffee. In general, the nose is very round and harmonious. Very fine. Behind the fruit there is also a little spice from the barrels, light white pepper.","Creamy, slightly watery mouthfeel. Initially a subtle, sweet start in which the fruit basket from the nose initially transforms into a grapefruit. With the next sip and the one after that, dark, dried fruit is added. One or the other raisin also shows up and it becomes sweeter. The gentle pepper impression in the smell intensifies in the taste and combines with ginger and more spice from the barrels.","Finally, the Taninne from the oak wood of the barrels pick up speed. With the medium finish, cocoa-heavy chocolate with darker fruit components now becomes more dominant. At the end, the malt becomes slightly astringent.",87,86,85
WhiskyPEATer,139,88.0,,,,,,
lys1,139,82.0,,,,82,81,82
Cask1988,140,,"Sweet, ripe, and mellow. Full flavored and very mature. Very ripe red and tropical fruits as well. Plums, raspberry, apricot and mango I'd say. Hints of leather are present, a whiff of tobacco and chocolate muffins. Old wood and herbs. There is a lot going on inhere. An absolute BFYB on the nose. Very complex and refined.","A perfectly rounded body. Sweet gentle and a wee bit sour. It's a beautifully spiced with a hint of chili. There is nuttiness, sultana cookies and apricote. Absolutely no flaw or off note. Again here a BFYB","The finish is long, a little dry and wood orientated. It is a very deserving finish for this whisky. Red and tropical fruits, vanilla, wet wood and lychees are there. A herbal finale closes this experience. Highly recommended whisky!",,,
dRambo,140,88.0,"fine, subtly sweet sherry nose, without sulfur and without spicy ingredients, very delicate, very yummy, plum, apricot, some orange marmalade, vanilla, oak of the style old dusty dry loft,","slightly sweet and sour, tingling oak with a hint of mint, cocoa and nuts, apricot jam, orange peel, pepper, bay leaf, ginger, nutmeg, oak grind dust, oily, high-quality, round and mature but certainly not lax, also the alcohol content is good","Orange oil, oak, rosemary sharpness, pepper, slightly dry - medium length with Tedenz too long - if enough in the mouth",,,
didi1893,140,89.0,"Blind tasting: Initially, the nose is discreetly restrained, then dark berries become more intense. A little peach or apricot aroma is added, mineral dryness and a hint of pine needles stands out from the sweet fruit. Do I smell ripe apples? The alcohol is harmoniously integrated into a spicy wood aroma.","Slightly tart and spicy wood tones dominate the first impression. Subtle spiciness and a pinch of pepper fill the mouth area, fruity notes flash before dry woody aroma gains the upper hand. Fine, indefinable spice rise from the oak, before again sets very pleasant sharpness.","Chubby warm, the taste goes on in the finish. Dry and tart wood flavors mix light walnut flavor. Earth and wet forest soil will be remembered for a long time. Spicy wood and fruit finish the finish.",,,
Archer,140,88.0,"Dark, heavy, fruity. Blueberries and blackberries dominate the first impression. Behind it are also black cherries to find. Old (rotted) wood and leather.","Creamy mouthfeel, very oily. Initially quite dry on the palate, with blackberries and cherries. Milk chocolate and cocoa. The fruit notes continue to spread over time, becoming more intense. Tart oak flavor comes after a while and stays long. Slightly bitter, which is not negative.","Medium long, dry finish with a lot of oak and decaying berry notes.",,,
Marko_I,140,,"first dusty-dry, old wood, old books ... then it opens, lots of nut, nougat, toffee, creamy-sweet ... orange-fruity, orange marmalade, peach compote, dried dates - round, intense scent","less fruit (some orange and Pfisrsichmarmelade), a lot of chocolaty sweetness, nougat, spicy oak and gentleman's room, old wood, tobacco, leather, a little moder","Medium dark chocolate and nougat, a bit longer pepper",,,
filleadh mhòr,140,85.0,"it needs at least half an hour to open up. fine oloroso, overripe apples, apple compote with raisins, apricot, peach, orange, even some grilled banana with rum, a collection of nuts, almonds, mainly peanuts, some nutmeg, a touch of honey, old leather, tobacco, cedar wood, a mix of coffee and cacao powder. the oak remains in the background, not dominating at all.  ",the body is a bit thin. the first impression on the tongue is much more on the bitter side than expected after the rather fruity nose. pretty dry as well. feels a bit like sparkling. slowly you can detect all the scents in the taste as well. it's not an easy drinking malt. calling in your full concentration.,"medium length, some white pepper comes up, the wood enters the front.",,,
L_Gillian,140,86.0,"Fresh ripe fruits and old wood. Surprisingly sour, fresh and green! Flower store, cardboard but also ripe plums and raspberries, oranges, fruit cake and some subtle herbs.","Perfectly rounded, delicate, excitingly balancing between sweet and sour. Slightly tart but pleasant pepper and oak spices mainly. Sultana cookies,","Light but long lasting. Drying oak, passion fruit, an enjoyable metallic note stands out here as well, interesting!",87,86,86
Arquebus,140,89.0,,,,,,
WhiskyMonster,140,82.0,"Light oak, vanilla, goldern syrup, the damp must of a cellar ","Smooth and almost sickly sweet like Tokai, age has mellowed the spirit to give an unctuous mouthfeel. Some raisins and dried fruit but everything is in balance","As the taste develops and the sweetness fades, a red wine oak intensifies and gradually diminishes, until at the very end cigar tobacco notes come to the fore",,,
Peated-Boy,140,,Sherry ,Very sweet and mild,Short and sweet,,,
Armin Fuchs,141,95.0,,,,,,
Armin Fuchs,141,95.0,"From the bottle comes a large contingent of cherries (fruits, jams, juice …), citrus variations; typical old Glenfarclas from the dark side!Earthy, toolshed in the garden, chocolate, blue berries, apples, apple juice, peated jams with some smoke, spiciness from the cask, raisins, cherry jam, bullion cube in sourly roast marinade, sausages, some leather, toffee, some Armagnac, chocolate-mocha-caramel creme, scouring powder, salt water, old kitchen furniture, some butter, hints of tomato sauce, wood, ginger bread (Schoko-Elisen-Lebkuchen), apple sauce with herbs and pepper, traces of sweetened peppermint tea, hints of fish scales, Christmas cookies ...","Tart & sweet & spicy, citrus, fiery, cherry juice, Demerara, sour orange juice, sweet jams, wooden tartness with pleasant bitterness, dark Rumtopf, burnt cake, fruit brandies, peat, maltiness, minreal components, earthy, old motor, Brandy Beans, feeling of cocoa powder, roast beef, old leather chair, bread, hints of nuts ...","Fruit Brandies, Brandy Beans, Demerara, jam's sweetness, citrus, extremely slow and warming Finish, aftertaste of dark chocolate, vegetables (?), motor oil, Franzbranntwein, herbs for cooking, maltiness, wood ...",,,
Armin Fuchs,141,95.0,,,,94,95,95
ColdAesthetics,141,91.0,"Very old Armagnac, old shoe polish, old plum wine, chocolates, dates, dark honey, sweet licorice, black walnut, camphor, saffron, cocoa beans, thick","Armagnac, chocolates, plum, dates, old raisins, saffron, camphor, old wooden chest with old leather inlaid, nutmeg, some anise, sage, ricola, some furniture polish","Significantly bitter, black coffee and dark chocolate, anise, leather, long",,,
dram-drinker,141,95.0,"Fresh, intense, dried fruits, plums, dates, figs, nutmeg, tobacco, toffee, old and fine sherry wood, chocolate, little menthol and herbs, spices - excellent!","Oily, creamy, more dried fruits, good sweetness, coffee, mocha, toffee, more chocolate, nutmeg, deep sherry wood, hints of old books - great!","Long, warm, fruity, mellow, little more punchy, not drying",96,95,94
Malinois,141,91.0,Polished cedar wood with oranges all a bit sweet in the good way. Certainly not dessert sweet. It has with 43% enough punch to deliver.,"Initial taste: A bit sweeter an fresher than in the nose in a dusty way, but still solid. The polished cedar wood gets pushed away by some sweeter oranges. Taste: some soft wood spices working there way trough and the mouth feeling becomes much denser. Beautiful! This is wat they call layered whisky: from dusty fresh to dense and heavy with different elements rolling into it.",Initial aftertaste: the same as in the tasteLong aftertaste: the mouth stays behing in an dried mouth coated feeling. The polished cedar wood is in the background because the soft wood spices are dominant. I really need to sip some water after a few minutes. But this is without hot or spicy moments.,92,92,89
MrRancho,141,89.0,"Dried fruits (plum, apricot), banana, chocolate, vanilla, orange peel, white pepper, cheesecake, honey.","Sweet fruits, syrup, fresh lemon lemonade, but also grass, hazelnut, oregano.","Pleasant, nutty, salty course.",,,
FineSpirits_butler1,141,93.0,,,,95,95,95
Dram Dracula,142,93.0,,,,,,
numen,142,95.0,"Chocolate, dried figs, chocolate, stewed cherries, orange zest oil. It has almost a bourbony-coffee quality here. It's dark, and even figgier, and spiced, dark fruit cake. It's rich as heck, dense, and easy to keep nosing for hours on end.","Intense, dark, and heavy. It's a sherry bomb, but anything but cloying or sweet. More on coffee here than chocolate. Spice, cloves, anise, leather (polished), burned fruit. FIGS. Raisins, prunes, and dried cherries.","Coffee, chocolate, and, you guessed it, figs. Prunes, raisins, burnt dry fruit cake. High quality orange-leather varnish. Powerful and effing awesome.",,,
mmaclean,142,89.0,"Very much like spring time and heather, vanilla, dried fruits, sherry","malty, thick and creamy, cask strength so tone it down with some water to taste. little smoke, some cocoa and bread pudding","long finish, very enjoyable, some fresh fruits and alot of malt and cakes.",,,
mmaclean,142,89.0,,,,,,
hs305,143,95.0,"The nose is subtle and delicate with such a perfect balance that it is hard to believe. The sherry is fantastic old school style, not too dominant to leave space for all the other aromas like hints of peat (!), beautiful structured oak and some delicate fruits. All in a close to perfection mix.","On the palate this perfection arrives instantly with the very first sip. All flawless, all clean, all fantastic. The oloroso sherry is embedded in a nice mixture of different spices (among them traces of white pepper) and sugars.","The finish is unexpectedly long, but it dries out a little at the very end. No wonder, given its age of 46 years in cask. But still this finish is much better than most of all other whiskies I tasted so far and it repeats all these beautiful flavours from the nose and the palate. Simply great whisky, a must try for every true connoisseur!",96,97,94
lincolnimp,143,92.0,,,,,,
lincolnimp,143,92.0,,,,94,93,91
lincolnimp,143,92.0,"Very elegant indeed, on sweet plum, some brandy notes, milk chocolate, juicy raisins, , notes of fresh cream.","Smooth, wow that is some palate but as expected at this age there is some bitterness at first and I detect hints of black currant.Sweet caramel, salted caramel also, a few smoked meat notes n the mix.","Good medium length, smooth and its getting sweeter but the oak is in the background but its there.",,,
Derekyu928,143,93.0,,,,,,
GlenSikkes,143,,,,,,,
Ras Mazunga,143,,,,,,,
Mr. D.,144,87.0,,,,87,87,86
WhiskyLovingPianist,144,86.0,,,,,,
Indianerhäuptling,144,88.0,,,,88,88,87
Christian Wagner,144,89.0,,,,89,90,89
dRambo,144,87.0,,,,88,86,87
dRambo,144,87.0,"beautiful, complex, rich, but not drowned in sherry nose, wax, orange, apple juice, dark berries, plum jam - sour fruity, creamy, looks directly older and valuable, beeswax, furniture polish, tobacco, jasmine, cinnamon and oak - Christmas spices - very beautiful dynamic nose","Berries in chocolate, dark chocolate, fine fruit acidity, raisins, dried cherries, zero alcoholic - some wax, furniture polish, roasted nuts - need a small drop of water","full-bodied, red fruit, peppery warming, clear rather light oak - long and viscous",,,
Ed Radour,144,85.0,,,,88,87,84
mr.p9,144,86.0,,,,86,86,85
hs305,144,87.0,,,,,,
WhiskyLovingPianist,144,86.0,,,,,,
Mr.Sandwich,145,91.0,"Strong aromas of sweet peat smoke, iodine, nougat brittle and salted caramel.","Full-bodied and ripe for his young age.  Astringent, he immediately fills the entire mouth with strong peat - wonderful.  Tart and spicy after seaweed & curry mixed with apple juice. The flavors are very nicely coordinated.  I had rather expected a boisterousness that cannot be enjoyed on its own & am pleasantly surprised. Dilution is not absolutely necessary.","Lots of smoke, kelp, iodine, apples & curry.",92,91,90
